Link,customId,Id_Evento,Cartao_Vermelho_Fora,Data_Hora,Evento_Slug,Torneio,Pais,Torneio_Slug,Id_Unico_Torneio,Evento_com_Estats,Id_Torneio,Status_Partida,Time_Casa,Id_Time_Casa,Time_Fora,Id_Time_Fora,Gols_Casa,Gols_Casa_1T,Gols_Casa_2T,Gols_Casa_Tempo_Normal,Gols_Fora,Gols_Fora_1T,Gols_Fora_2T,Gols_Fora_Tempo_Normal,Tempo_Extra_1T,Tempo_Extra_2T,Cartao_Vermelho_Casa,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,time.injuryTime3,time.injuryTime4,homeScore.penalties,awayScore.penalties,Odd_Frac_Casa,Odds_Decimais_Casa,Prob_Casa,Odd_Frac_Empate,Odds_Decimais_Empate,Prob_Empate,Odd_Frac_Fora,Odds_Decimais_Fora,Prob_Fora
https://www.sofascore.com/hungary-u19-england-u19/fajspaj,fajspaj,10969649,1.0,2023-03-22 16:30:00,hungary-u19-england-u19,"U19 European Championship, Elite round - Gr. 7",Europe,u19-european-championship-qualif,748,False,11942,Ended,England U19,22505,Hungary U19,22515,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,7.0,,,,,,,,,,,,1/6,1.17,85.47,11/2,6.5,15.38,9/1,10.0,10.0
https://www.sofascore.com/greece-u19-estonia-u19/gajsnaj,gajsnaj,10969646,,2023-03-22 16:30:00,greece-u19-estonia-u19,"U19 European Championship, Elite round - Gr. 5",Europe,u19-european-championship-qualif,748,False,11938,Ended,Estonia U19,22506,Greece U19,22513,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,13/2,7.5,13.33,10/3,4.33,23.09,1/3,1.33,75.19
https://www.sofascore.com/mansfield-town-grimsby-town/tsvb,tsvb,11014022,,2023-03-22 16:45:00,mansfield-town-grimsby-town,League Two,England,league-two,25,True,84,Ended,Mansfield Town,70,Grimsby Town,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,17/20,1.85,54.05,5/2,3.5,28.57,10/3,4.33,23.09
https://www.sofascore.com/latvia-ireland/TTbsgUb,TTbsgUb,11038090,,2023-03-22 16:45:00,latvia-ireland,International Matches,World,int-friendly-games,851,False,66,Ended,Ireland,4693,Latvia,4706,3.0,2.0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,,,,,,,,,,,,9/50,1.18,84.75,11/2,6.5,15.38,16/1,17.0,5.88
https://www.sofascore.com/wolfsburg-paris-saint-germain/glcsfkx,glcsfkx,11053042,,2023-03-22 17:00:00,wolfsburg-paris-saint-germain,"UEFA Champions League, Women, Knockout stage",Europe,uefa-womens-champions-league,696,True,11392,Ended,Paris Saint-Germain,55505,Wolfsburg,5556,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,13/8,2.62,38.17,12/5,3.4,29.41,7/5,2.4,41.67
https://www.sofascore.com/caldense-patrocinense/wRpsLFjc,wRpsLFjc,11120268,1.0,2023-03-22 20:00:00,caldense-patrocinense,"Mineiro, Modulo I, Relegation Round",Brazil,mineiro-modulo-i,379,False,112144,Ended,Caldense,39621,Patrocinense,274036,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,15.0,1.0,,,,,,,,,,,6/5,2.2,45.45,5/2,3.5,28.57,7/4,2.75,36.36
https://www.sofascore.com/appalachian-fc-north-carolina-fusion-u23/TyBcsvycd,TyBcsvycd,11048684,2.0,2023-03-22 20:00:00,appalachian-fc-north-carolina-fusion-u23,US Open Cup,USA,us-open-cup,495,True,6814,AP,Appalachian FC,381170,North Carolina Fusion U23,316193,5.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,3.0,0.0,11/8,2.38,42.02,11/4,3.75,26.67,11/8,2.38,42.02
https://www.sofascore.com/manhattan-sc-fc-motown/ZBbcsGABc,ZBbcsGABc,11048677,,2023-03-22 20:00:00,manhattan-sc-fc-motown,US Open Cup,USA,us-open-cup,495,True,6814,AET,Manhattan SC,316281,FC Motown,253849,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,,0.0,1.0,1.0,0.0,0.0,0.0,,2.0,,,11/8,2.38,42.02,13/5,3.6,27.78,11/8,2.38,42.02
https://www.sofascore.com/alacranes-de-durango-pumas-tabasco/xFosCYQc,xFosCYQc,10912518,,2023-03-22 20:00:00,alacranes-de-durango-pumas-tabasco,"Liga de Expansion MX, Clausura",Mexico,liga-de-expansion-mx-clausura,11612,False,90492,Ended,Alacranes de Durango,36522,Pumas Tabasco,354927,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,,,,,,,,,,,,6/5,2.2,45.45,9/4,3.25,30.77,12/5,3.4,29.41
https://www.sofascore.com/chicago-house-ac-milwaukee-bavarian-sc/HLAcsPBfd,HLAcsPBfd,11048700,,2023-03-22 21:00:00,chicago-house-ac-milwaukee-bavarian-sc,US Open Cup,USA,us-open-cup,495,True,6814,Ended,Chicago House AC,388840,Milwaukee Bavarian SC,314332,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,,,,,,,,,,,,2/1,3.0,33.33,16/5,4.2,23.81,17/20,1.85,54.05
